no,tema,nama_&_nomor_surat/doa,bacaan_arab,bacaan_latin,terjemahan,bacaan_untuk_apa,rujukan_bacaan_dari,sumber_refrensi
3.0,Jodoh,QS. Al-A'raf (7): 189,هُوَ ٱلَّذِى خَلَقَكُم مِّن نَّفْسٍۢ وَٰحِدَةٍۢ وَجَعَلَ مِنْهَا زَوْجَهَا لِيَسْكُنَ إِلَيْهَا,Huwa alladhī khalaqakum min nafsin wāḥidah waja‘ala minhā zawjahā liyas kun ilayhā,"""Dia-lah yang menciptakan kamu dari seorang diri, dan (Dia) menjadikan dari padanya pasangannya, agar dia merasa tenteram kepadanya.""","Ayat ini sering dijadikan dasar doa untuk memohon keberkahan dalam jodoh yang diciptakan Allah, agar menjadi pasangan yang saling melengkapi dan membawa ketenangan (sakinah). Doa ini relevan bagi siapa pun yang menginginkan jodoh yang diridhai Allah dan membangun rumah tangga yang harmonis.",KH Bisri Mustofa,https://e-journal.metrouniv.ac.id/nizham/article/download/7208/3662/28762?utm_source=chatgpt.com
3.0,Jodoh,,,,,,,
4.0,Kehidupan Setelah di Dunia,QS. Al‑Ankabut (29):64,وَمَا هٰذِهِ الْحَيٰوَةُ الدُّنْيَآ إِلَّا لَهْوٌ وَلَعِبٌ وَإِنَّالدَّارَ الْاٰخِرَةَ لَهِيَ الْحَيَٰوَانُ لَوْ كَانُوا۟ يَعْلَمُونَ,Wa ma hādhihi al-ḥayātu ad-dunyā illā lahwun wa la‘ib wa inna ad-dāral-ākhirata lahī al-ḥayawān lau kānū ya‘lamūn.,“Dan tiadalah kehidupan dunia ini selain senda-gurau dan permainan; sedangkan akhirat itulah kehidupan sejati jika mereka mengetahui.”,Untuk mengingat bahwa dunia bersifat sementara dan mempersiapkan hati untuk kehidupan akhirat.,"Ulama tafsir, Ar‑Raghib al‑Ashfahani",https://iqra.republika.co.id/berita/s6qs34320/4-istilah-yang-digunakan-alquran-untuk-menyebut-kehidupan-akhirat
4.0,Kehidupan Setelah di Dunia,QS. Al‑Baqarah (2):201,وَمِنْهُمْ مَّن يَقُولُ رَبَّنَا آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ,Wa minhum man yaqūlu rabbana ātinā fid-dunyā ḥasanatan wa fil-ākhirati ḥasanatan wa qinā ‘adhāban-nār.,"“Ya Tuhan kami, berilah kami kebaikan di dunia dan akhirat, dan lindungilah kami dari siksa neraka.”",Agar hidup diberkahi di dunia dan akhirat serta terhindar dari azab neraka.,Rasulullah ﷺ (HR. Bukhari & Muslim),https://tafsirweb.com/727-surat-al-baqarah-ayat-201.html
4.0,Kehidupan Setelah di Dunia,HR. Muslim No.2720,  اللَّهُمَّ أَصْلِحْ لِي دِينِي وَدُنْيَايَ وَآخِرَتِي وَأَعْمَالِي وَأَهْلِي وَمَالِي وَبَلَّغْنِي رِضَاكَ وَاجْعَلِ الْمَوْتَ رَاحَةً لِي مِنْ كُلِّ شَرٍّ,Allāhumma aṣliḥ lī dīnī wa dunyāya wa ākhiroti wa a‘mālī wa ahlī wa mālī wa ballighnī riḍāk wa ja‘alil-mawta rāḥatan lī min kulli sharr.,"“Ya Allah, perbaikilah agamaku, duniaku, akhiratku, amalanku, keluargaku & hartaku, capailah ridha-Mu, dan jadikan kematian sebagai ketenangan dari segala kejahatan.”",Agar hidup bermanfaat dan kematian membawa ketenangan serta keselamatan.,Rasulullah ﷺ (HR. Muslim 2720),https://rumaysho.com/986-doa-untuk-memperbaiki-urusan-agama-dan-dunia.html
4.0,Kehidupan Setelah di Dunia,Doa keselamatan (Ath-Thibi),اللَّهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ,Allahumma innī as'aluka al-ʿafwa wa al-ʿāfiyata fid-dunyā wa al-ākhirah,"""Ya Allah, aku memohon kepada-Mu ampunan dan keselamatan di dunia dan akhirat.""",Agar mendapatkan kesejahteraan utuh dan terlindung di dunia & akhirat.,Rasulullah ﷺ ,https://almanhaj.or.id/66211-seharusnya-memohon-keselamatan-dunia-dan-akhirat.html
4.0,Kehidupan Setelah di Dunia,QS. An-Nisa’ (4):126,  وَلِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۗ وَكَانَ اللَّهُ بِكُلِّ شَيْءٍ مُحِيطًا,Wa lillāhi mā fī as-samāwāti wa mā fī al-arḍi wa kāna Allahu bikulli shay’in muḥīṭan.,“Kepunyaan Allah apa yang di langit dan di bumi; dan Allah Maha Menguasai segala sesuatu.”,Agar meyakini bahwa semua urusan dunia dan akhirat berada di tangan Allah.,"Ibnu Katsīr, Wahbah az-Zuhailī",https://tafsirweb.com/1658-surat-an-nisa-ayat-126.html
4.0,Kehidupan Setelah di Dunia,Doa Prioritas Akhirat,مَنْ كَانَتِ الْآخِرَةُ هَمَّهُ جَمَعَ اللَّهُ لَهُ أَمْرَهُ وَآتَاهُ الْخَيْرَ فِي دُنْيَاهُ وَلَزَمَهُ اللَّهُ رِضَا,Man kānat al-ākhiratu hammahu jama‘allāhu lahu amrahu wa ātāhu khayrahu fī dunyāhi wa lazamahu Allah riḍāhu.,"""Barang siapa yang akhirat menjadi tujuannya, maka Allah akan menyatukan urusannya, memberinya kebaikan dunia, dan membuatnya selalu dalam keridhaan Allah.","Doa dan nasihat ini untuk mendorong fokus hidup pada akhirat, bukan semata-mata dunia. Bila seseorang memprioritaskan akhirat, maka:
Allah akan memudahkan urusan dunianya,
Allah akan memberi rezeki dan kebaikan dunia tanpa harus mencarinya secara berlebihan,
Dan Allah akan menganugerahinya keridhaan-Nya, tujuan tertinggi dalam kehidupan",Rasulullah ﷺ,https://almanhaj.or.id/12638-jadikanlah-akhirat-sebagai-niatmu-2.html
4.0,Kehidupan Setelah di Dunia,Doa Thabrani,اللَّهُمَّ الطِّفْ بِي فِي تَيْسِيرِ كُلِّ عَسِيرٍوَيَسِّرْنِي فِي كُلِّ أَمْرٍ وَارْزُقْنِي خَيْرَ الدُّنْيَاوَخَيْرَ الْآخِرَةِ,Allāhumma al-ṭif bī fī taysīri kulli ‘asīr wa yassirnī fī kulli amrin warzuqnī khayra ad-dunyā wa khayra al-ākhirah.,"“Ya Allah, mudahkanlah aku dalam mengurus setiap urusan yang sulit, karena sesungguhnya memudahkan perkara yang sukar adalah mudah bagi-Mu. Aku memohon kepada-Mu kelapangan dan kesehatan di dunia dan akhirat.”","Agar segala urusan yang sulit menjadi ringan dan mudah dengan pertolongan AllahMeminta agar hidup dipenuhi dengan kelapangan (kemudahan) dan terhindar dari penyakit & kesusahan di dunia serta akhirat.

",Rasulullah ﷺ (HR. Thabrani),https://www.detik.com/hikmah/doa-dan-hadits/d-6378940/6-doa-agar-dimudahkan-urusan-dunia-dan-akhirat-dibaca-yuk
4.0,Kehidupan Setelah di Dunia,QS. Al-Baqarah (2): 156,إِنَّا لِلَّهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ,Innā lillāhi wa innā ilayhi rājiʿūn,"""Sesungguhnya kami adalah milik Allah dan kepada-Nya lah kami kembali.""","Doa ini dianjurkan dibaca saat menghadapi musibah atau mendengar kabar kematian, sebagai bentuk kesabaran dan pengakuan atas takdir Allah.","yaikh Dr. Shalih bin Abdullah bin Humaid, Imam Masjidil Haram",https://tafsirweb.com/626-surat-al-baqarah-ayat-156.html
4.0,Kehidupan Setelah di Dunia,QS. Yusuf (12): 101,تَوَفَّنِي مُسْلِمًا وَأَلْحِقْنِي بِالصَّالِحِينَ,Tawaffanī musliman wa alḥiqnī biṣ-ṣāliḥīn,"""Wafatkanlah aku dalam keadaan Islam dan gabungkanlah aku dengan orang-orang yang saleh.""",Doa Nabi Yusuf agar diwafatkan dalam keadaan Islam dan bersama orang-orang saleh.,Nabi Yusuf,https://quran.com/12:101/tafsirs/en-tafisr-ibn-kathir
4.0,Kehidupan Setelah di Dunia,QS. Ali 'Imran (3): 193,رَبَّنَا اغْفِرْ لَنَا ذُنُوبَنَا وَكَفِّرْ عَنَّا سَيِّئَاتِنَا وَتَوَفَّنَا مَعَ الْأَبْرَارِ,Rabbana ighfir lana dhunubana wa kaffir 'anna sayyiatina wa tawaffana ma'al abrar,"""Ya Tuhan kami, ampunilah dosa-dosa kami, hapuskanlah kesalahan-kesalahan kami, dan wafatkanlah kami bersama orang-orang yang berbakti.""",Permohonan ampunan dan husnul khatimah.,"Tafsir Tazkirul Quran

",https://quran.com/3:193/tafsirs/tazkirul-quran-en
4.0,Kehidupan Setelah di Dunia,Doa Memohon Perlindungan dari Siksa Kubur dan Neraka,للَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ عَذَابِ الْقَبْرِ، وَمِنْ عَذَابِ النَّارِ، وَمِنْ فِتْنَةِ الْمَحْيَا وَالْمَمَاتِ، وَمِنْ شَرِّ فِتْنَةِ الْمَسِيحِ الدَّجَّالِ,"Allāhumma innī a‘ūdzu bika min ‘adzābil-qabri, wa min ‘adzābin-nār, wa min fitnatil-maḥyā wal-mamāt, wa min syarri fitnatil-masīḥid-dajjāl","""Ya Allah, aku berlindung kepada-Mu dari siksa kubur, siksa neraka, fitnah kehidupan dan kematian, serta dari kejahatan fitnah Al-Masih Ad-Dajjal.""",Doa memohon agar diberi perlindungan oleh Allah SWT dari siksa kubur dan neraka,Rasulullah ﷺ,https://www.detik.com/hikmah/doa-dan-hadits/d-6836785/2-doa-agar-terhindar-dari-siksa-kubur-baca-usai-tasyahud-akhir?
4.0,Kehidupan Setelah di Dunia,QS. Al-Mulk (67): 2,الَّذِي خَلَقَ الْمَوْتَ وَالْحَيَاةَ لِيَبْلُوَكُمْ أَيُّكُمْ أَحْسَنُ عَمَلًا,Alladzii khalaqal-mauta wal-hayaata liyabluwakum ayyukum ahsanu 'amalaa,"""Yang menciptakan mati dan hidup, untuk menguji kamu, siapa di antara kamu yang lebih baik amalnya.""",Membaca surat Al-Mulk secara rutin dapat menjadi pelindung dari siksa kubur. Rasulullah ﷺ bersabda bahwa surat ini akan memintakan syafaat bagi pembacanya hingga diampuni,Rasulullah ﷺ,https://kumparan.com/berita-hari-ini/doa-surat-al-mulk-dan-keutamaannya-sebagai-pelindung-di-alam-kubur-1zhTBRa9AMA?
4.0,Kehidupan Setelah di Dunia,Doa Hadits Nabi – Memohon Surga & Perlindungan dari Neraka,اللَّهُمَّ إِنِّي أَسْأَلُكَ الْجَنَّةَ وَمَا قَرَّبَ إِلَيْهَا مِنْ قَوْلٍ أَوْ عَمَلٍ وَأَعُوذُ بِكَ مِنَ النَّارِ وَمَا قَرَّبَ إِلَيْهَا مِنْ قَوْلٍ أَوْ عَمَلٍ,Allahumma innī as’aluka al-jannata wa mā qarraba ilayhā min qawlin aw ‘amalin wa a‘ūdhu bika minan-nār wa mā qarraba ilayhā min qawlin aw ‘amalin,"“Ya Allah, aku memohon kepadamu surga dan segala sebab – baik ucapan maupun amalan – yang mendekatkanku kepadanya, dan aku berlindung kepada-Mu dari neraka serta segala sebab yang dapat menjerumuskanku ke dalamnya.”",Memohon Surga & Perlindungan dari Neraka,"Dr.H.Fathul Bari.,SS.,M.Ag",https://www.onedayonehadith.net/2021/01/masuk-surga-dengan-tahlil.html?
4.0,Kehidupan Setelah di Dunia,QS. Al-Furqān (25): 65–66,"وَالَّذِينَ يَقُولُونَ رَبَّنَا ٱصْرِفْ عَنَّا عَذَابَ جَهَنَّمَ ۖ إِنَّ عَذَابَهَا كَانَ غَرَامًا ﴿٦٥﴾
إِنَّهَا سَاءَتْ مُسْتَقَرًّا وَمُقَامًا ﴿٦٦﴾",Walladhīna yaqūlūna rabbanaa iṣrif ‘annā ‘adhāba jahannama inna ‘adhābahā kāna gharāmā. Innahā sāat mustaqarranw wa muqāmā.,“Dan orang-orang yang berkata:,Memohon perlindungan dari siksa neraka dan dibukakannya jalan ke Surga sebagai tempat kembali yang abadi.,Syaikh Prof. Dr. ʿAbdurrazzāq bin ʿAbd al‑Muḥsin al‑Badr,https://www.ngaji.id/takut-dan-khawatir-dengan-siksa-neraka-jahanam/?
4.0,Kehidupan Setelah di Dunia,,,,"‘Ya Tuhan kami, jauhkanlah azab Jahannam dari kami, sesungguhnya azabnya itu adalah kebinasaan yang kekal.",,,
4.0,Kehidupan Setelah di Dunia,,,,Sesungguhnya Jahannam itu seburuk-buruk tempat menetap dan tempat kediaman.’”,,,
5.0,Keluarga,QS. Al-Furqān (25): 74,وَٱلَّذِينَ يَقُولُونَ رَبَّنَا هَبْ لَنَا مِنْ أَزْوَٰجِنَا وَذُرِّيَّٰتِنَا قُرَّةَ أَعْيُنٍ وَٱجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا,"Rabbana hablana min azwajina wa dhurriyyatina qurrata a’yunin, waj’alna lil-muttaqina imāman.","“Dan orang-orang yang berkata: ‘Ya Tuhan kami, anugerahkanlah kepada kami istri-istri kami dan keturunan kami sebagai penyejuk hati, dan jadikanlah kami imam bagi orang-orang yang bertakwa.’”","Memohon keluarga penuh ketenangan, cinta, dan keberkahan; menjadi teladan bagi keluarga bertakwa.",Ustadz Khalid Basalamah,"https://myislam.org/surah-furqan/ayat-74/#:~:text=And%20those%20who%20say%2C%20%E2%80%9COur,)%20to%20lead%20the%20righteous.%E2%80%9D"
5.0,Keluarga,QS. ʿĀli ‘Imrān (3): 8,رَبَّنَا لَا تُزِغْ قُلُوبَنَا بَعْدَ إِذْ هَدَيْتَنَا وَهَبْ لَنَا مِن لَّدُنكَ رَحْمَةً إِنَّكَ أَنتَ الْوَهَّابُ,"Rabbana lā tuzigh qulūbanā ba‘da idh hadaytanā, wa hab lanā min ladunka raḥmatan, innaka antal-wahhāb.","“Ya Tuhan kami, janganlah Engkau condongkan hati kami setelah Engkau memberi petunjuk, dan karuniakanlah kepada kami rahmat dari sisi-Mu; Engkaulah Maha Pemberi.”","memuat doa umum untuk keteguhan dan rahmat. Ulama seperti Tafsir Al‑Madinah, Al-Muyassar/Kemenag, dan Al‑Jalalayn telah menafsirkan secara lebih luas bahwa rahmat tersebut mencakup aspek keluarga. Ini yang sering dikutip dalam konteks doa untuk rumah tangga dan jodoh.",Tafsir Al‑Jalalayn (Jalaluddin al‑Mahalli & Jalaluddin as‑Suyuti),https://bekalislam.firanda.com/?p
5.0,Keluarga,QS. An‑Naml (27): 19,فَتَبَسَّمَ ضَاحِكًا مِن قَوْلِهَا وَقَالَ رَبِّ أَوْزِعْنِي أَنْ أَشْكُرَ نِعْمَتَكَ الَّتِي أَنْعَمْتَ عَلَيَّ وَعَلَىٰ وَالِدَيَّ وَأَنْ أَعْمَلَ صَالِحًا تَرْضَاهُ وَأَدْخِلْنِي بِرَحْمَتِكَ فِي عِبَادِكَ الصَّالِحِينَ,Fatabassama ḍāḥikan min qawlihā wa qāla rabbi awzi‘nī an ashkura ni‘mataka alladhī an‘amta ‘alayya wa ‘alā wālidayya wa an a‘mala ṣāliḥan tarḍāhu wa adkhilnī bi‑raḥmatika fī ‘ibādika ṣ‑ṣāliḥīn,"“Maka ia tersenyum (lalu) tertawa karena mendengar perkataan semut itu. Lalu ia berkata, ‘Ya Tuhanku, anugerahkanlah aku agar dapat mensyukuri nikmat‑Mu yang telah Engkau limpahkan kepadaku dan kepada kedua orang tuaku, dan agar aku mengerjakan amal saleh yang Engkau ridai, dan masukkanlah aku, dengan rahmat‑Mu, ke dalam golongan hamba‑Mu yang saleh.’”",Doa agar anak dan orang tua mendapatkan hati yang bersyukur serta amal yang diridhai Allah.,Nabi Sulaiman عليه السلام,https://tafsirweb.com/6883-surat-an-naml-ayat-19.html?
5.0,Keluarga,QS. Al‑Isrā’ (17): 24,وَٱخْفِضْ لَهُمَا جَنَاحَ الذُّلِّ مِنَ الرَّحْمَةِ وَقُلْ رَبِّ ٱرْحَمْهُمَا كَمَا رَبَّيَانِي صَغِيرًا,Wakhfid lahuma janaḥa dh-dhulli minar-raḥmati wa qul rabbirḥamhumā kamā rabbayānī ṣaghīrā.,"“Ya Tuhan kami, kasihanilah mereka sebagaimana mereka mendidikku di waktu kecil.”","Agar orang tua diberi kasih, rahmat, dan keberkahan atas jasa pengasuhan.",Al-Alusi (Tafsir Rūh al-Ma‘ānī),https://bincangsyariah.com/zikir-dan-doa/doa-memohon-ampunan-orang-tua-dalam-al-quran/?
5.0,Keluarga,QS. Luqmān (31): 14,وَوَصَّيْنَا ٱلْإِنسَـٰنَ بِوَٰلِدَيْهِ حَمَلَتْهُ أُمُّهُۥ وَهْنًا عَلَىٰ وَهْنٍۢ وَفِصَـٰلُهُۥ فِى عَامَيْنِ أَنِ ٱشْكُرْ لِى وَلِوَٰلِدَيْكَ إِلَىَّ ٱلْمَصِيرُ,Wa waṣṣainal-insāna bi-wālidayhi ḥamalat-hu ummuhū wahnan ‘alā wahnin wa fiṣāluhū fī ‘āmayni anishkur lī wa liwālidayka ilayya al-maṣīr,"“Dan Kami perintahkan kepada manusia (untuk berbuat baik) kepada dua orang ibu bapaknya. Ibunya telah mengandungnya dalam keadaan lemah yang bertambah-tambah, dan menyapihnya dalam dua tahun. Bersyukurlah kepada-Ku dan kepada dua orang ibu bapakmu, hanya kepada-Kulah kembalimu.”",Mengharap rahmat dan kasih Allah untuk orang tua sesuai jasa mereka semasa kecil.,Ustadz Firanda Andirja,https://www.detik.com/hikmah/dakwah/d-6370266/surat-luqman-ayat-14-arab-latin-dan-perintah-berbakti-pada-orang-tua
5.0,Keluarga,QS. Ibrāhīm (14): 41,رَبَّنَا اغْفِرْ لِي وَلِوَالِدَيَّ وَلِلْمُؤْمِنِينَ يَوْمَ يَقُومُ الْحِسَابُ,Rabbighfir lī wa li wālidayya wa lil-mu’minīna yawma yaqūmu l-ḥisāb,"Ya Tuhan kami, ampunilah aku dan kedua orang tuaku, dan orang-orang mukmin pada hari terjadinya perhitungan (kiamat).”",Memohon ampunan dan keselamatan di akhirat untuk orang tua & diri sendiri,stadz Yazid bin Abdul Qadir Jawas,https://almanhaj.or.id/3550-doa-memohon-ampunan-untuk-kedua-orang-tua-dan-kaum-mukminin.html
5.0,Keluarga,Doa dari Sunnah Harmoni & Kebersamaan Keluarga,     اللَّهُمَّ بَارِكْ لِي فِي أَهْلِي وَبَارِكْ لَهُمْ فِيَّ وَارْزُقْنِي مِنْهُمْ وَارْزُقْهُمْ مِنِّي ۖ اللَّهُمَّ اجْمَعْ بَيْنَنَا مَا جَمَعْتَ إِلَىٰ خَيْرٍ وَفَرِّقْ بَيْنَنَا إِذَا فَرَّقْتَ إِلَىٰ خَيْرٍ,"Allāhumma bārik lī fī ahli wa bārik lahum fiyyā, warzuqnī minhum warzuqhum minnī. Allāhummajma‘ baynanā mā jama‘ta ilā khairin wa farriq baynanā idzā farraqt ilā khairin.","“Ya Allah, berkahilah aku dalam keluargaku, berilah keberkahan mereka dalam hidupku. Berilah aku rezeki dari mereka dan berilah mereka rezeki dariku. Satukan kami dalam kebaikan dan jika Engkau pisahkan, pisahkanlah kami ke arah kebaikan.”","Memohon keberkahan dalam keluarga, saling memberi rezeki antara anggota keluarga, Memohon agar tetap disatukan dalam kebaikan , dan jika harus berpisah, maka dalam cara yang baik",Ustadz Yazid Muttaqin,https://nu.or.id/nasional/baca-doa-ini-agar-keluarga-penuh-berkah-bniVB
5.0,Keluarga,QS. Al-Ḥaśyr (59):10,وَٱلَّذِينَ جَآءُو مِنۢ بَعْدِهِمْ يَقُولُونَ رَبَّنَا ٱغْفِرْ لَنَا وَلِإِخْوَٰنِنَا ٱلَّذِينَ سَبَقُونَا بِٱلْإِيمَٰنِ وَلَا تَجْعَلْ فِى قُلُوبِنَا غِلًّۭا لِّلَّذِينَ ءَامَنُوا۟ رَبَّنَآ إِنَّكَ رَءُوفٌۭ رَّحِيمٌۭ,"Wa alladhīna jā’ū min ba‘dihim yaqūlūna: rabbana ighfir lanā wa li-ikhwāninā alladhīna sabaqūnā bil-īmān, wa lā taj‘al fī qulūbinā ghillan lilladhīna āmanū, rabbanā innaka ra’ūfun raḥīm.","“Dan orang-orang yang datang setelah mereka (Muhajirin dan Anshar), mereka berdoa: ‘Ya Tuhan kami, ampunilah kami dan saudara-saudara kami yang telah beriman lebih dahulu daripada kami, dan janganlah Engkau membiarkan kedengkian dalam hati kami terhadap orang-orang yang beriman. Ya Tuhan kami, sesungguhnya Engkau Maha Penyantun lagi Maha Penyayang.’”","Doa ini memohon ampunan untuk diri sendiri dan orang lain (khususnya kaum Muslim terdahulu), serta memohon hati yang bersih dari kedengkian terhadap sesama orang beriman.",Syed Abul A'la Maududi,https://surahquran.com/tafsir-english-aya-10-sora-59.htm
5.0,Keluarga,Doa istri untuk suami,"للَّهُمَّ اكْثِرْ مَالَ زَوْجِيْ وَبَارِكْ لَهُ فِيمَا أَعْطَيْتَهُ وَأَطِلْ حَيَاتَهُ عَلَى طَاعَتِكَ وَأَحْسِنْ عَمَلَهُ وَاغْفِرْ لَهُ
ا",Allāhumma akthir māla zawjī wa bārik lahu fīmā a‘ṭaytahu wa aṭil ḥayātahu ‘alā ṭā‘atika wa aḥsin ‘amalahu wa ighfir lahu,"“Ya Allah, perbanyak harta suamiku, berkahilah pemberian-Mu kepadanya, panjangkan umurnya dalam ketaatan, perbagus amalnya, dan ampunilah dia.”","Agar suami diberi rezeki melimpah, umur dalam ketaatan, amal baik, serta ampunan Allah.",stri Nabi ﷺ / HR. Bukhari,https://www.detik.com/hikmah/doa-dan-hadits/d-6849041/5-doa-suami-untuk-istri-yuk-baca-agar-rumah-tangga-berkah-dan-harmonis?
5.0,Keluarga,Doa setelah akad nikah,اللَّهُمَّ إِنِّي أَسْأَلُكَ خَيْرَهَا، وَخَيْرَ مَا جَبَلْتَهَا عَلَيْهِ، وَأَعُوذُ بِكَ مِنْ شَرِّهَا، وَشَرِّ مَا جَبَلْتَهَا عَلَيْهِ,Allāhumma innī astalkhu khayrahā wa khaira mā jabaltahā wa a‘ūdhu bika min sharrihā wa sharri mā jabaltahā ‘alayhā,"“Ya Allah, aku memohon kebaikannya, dan memohon perlindungan dari keburukannya…”","membuka rumah tangga dengan permohonan berkah & perlindungan, agar hubungan suami–istri dimulai dengan niat mencari kebaikan dan dijauhkan dari keburukan apa pun.","Sunnah Nabi ﷺ (Abu Daud, Ibnu Majah)",https://www.detik.com/hikmah/doa-dan-hadits/d-6849041/5-doa-suami-untuk-istri-yuk-baca-agar-rumah-tangga-berkah-dan-harmonis
